movieNm,startDate,endDate,salesAmt,audiCnt
스텔라,20220418,20230504,36180570.0,4103.0
스트레인지 월드,20220418,20230504,736702467.0,82991.0
스파이더맨: 노 웨이 홈 '펀버전',20220418,20230504,278607263.0,25524.0
스페이스 키드: 우주에서 살아남기,20220418,20230504,197355771.0,25285.0
시간을 꿈꾸는 소녀,20220418,20230504,15273299.0,1851.0
시네마 천국,20220418,20230504,2400000.0,400.0
시맨틱 에러: 더 무비,20220418,20230504,271436300.0,25372.0
신 에반게리온 극장판,20220418,20230504,57693900.0,5020.0
신비아파트 극장판 차원도깨비와 7개의 세계,20220418,20230504,4046243518.0,423422.0
신비한 동물들과 덤블도어의 비밀,20220418,20230504,7229618300.0,715302.0
실종,20220418,20230504,58219200.0,6780.0
심야카페: 미씽 허니,20220418,20230504,38436096.0,4240.0
썸머 필름을 타고!,20220418,20230504,129656260.0,13967.0
쓰리: 아직 끝나지 않았다,20220418,20230504,22022500.0,3509.0
아마겟돈 타임,20220418,20230504,21257594.0,2759.0
아머드 사우루스: 기계공룡제국의 침략,20220418,20230504,26765042.0,2802.0
아바타 리마스터링,20220418,20230504,3895090540.0,230712.0
아바타: 물의 길,20220418,20230504,137311451043.0,10778351.0
아이언 크로스: 노르망디 상륙작전,20220418,20230504,5000000.0,1000.0
아인보: 아마존의 전설,20220418,20230504,307769879.0,38806.0
아임 히어로 더 파이널,20220418,20230504,5618157500.0,232300.0
"아치의 노래, 정태춘",20220418,20230504,209937120.0,21594.0
안녕하세요,20220418,20230504,152666860.0,20374.0
알라딘,20220418,20230504,881411000.0,74150.0
압꾸정,20220418,20230504,5701101161.0,605112.0
애프터 양,20220418,20230504,240055320.0,24927.0
애프터: 에버 해피,20220418,20230504,21612600.0,2843.0
