movieNm,startDate,endDate,salesAmt,audiCnt
문폴,20210301,20220417,1922256690.0,188967.0
미나리,20210301,20220417,10148494760.0,1125428.0
미드나이트,20210301,20220417,910521430.0,104070.0
미션 파서블,20210301,20220417,1006008110.0,107421.0
미싱타는 여자들,20210301,20220417,410000.0,201.0
바다 탐험대 옥토넛 : 육지수호 대작전,20210301,20220417,160909900.0,18376.0
박강아름 결혼하다,20210301,20220417,4590000.0,510.0
반지의 제왕 : 두개의 탑,20210301,20220417,287680940.0,24289.0
반지의 제왕 : 반지원정대,20210301,20220417,407267530.0,33639.0
반지의 제왕 : 왕의 귀환,20210301,20220417,315158700.0,25004.0
발신제한,20210301,20220417,9060034990.0,949123.0
방법: 재차의,20210301,20220417,1517195510.0,170142.0
배니싱: 미제사건,20210301,20220417,266492210.0,29969.0
뱅드림! 로젤리아 에피소드Ⅰ: 약속,20210301,20220417,122866110.0,13525.0
뱅드림! 팝핀' 드림!,20210301,20220417,58026730.0,5821.0
뱅드림! 필름 라이브 세컨드 스테이지,20210301,20220417,204550080.0,20051.0
베놈 2: 렛 데어 비 카니지,20210301,20220417,21031029510.0,2114192.0
벨파스트,20210301,20220417,83947570.0,9355.0
보스 베이비 2,20210301,20220417,8249171710.0,918981.0
보이스,20210301,20220417,13975008310.0,1419478.0
보이저스,20210301,20220417,144255030.0,17356.0
복지식당,20210301,20220417,3378000.0,399.0
부활,20210301,20220417,2455000.0,291.0
부활: 그 증거,20210301,20220417,12074000.0,1248.0
분노의 질주: 더 얼티메이트,20210301,20220417,21965101870.0,2280710.0
불도저에 탄 소녀,20210301,20220417,52605870.0,5892.0
브레이브 언더 파이어,20210301,20220417,96776300.0,12010.0
브리짓 존스의 일기,20210301,20220417,44921730.0,7372.0
블랙 위도우,20210301,20220417,29904429690.0,2953731.0
블랙라이트,20210301,20220417,209904720.0,22762.0
블랙핑크 더 무비,20210301,20220417,131497000.0,10027.0
비밀의 정원,20210301,20220417,19108240.0,2318.0
비와 당신의 이야기,20210301,20220417,3628140850.0,397789.0
비욘드라이브 더 무비 : 엔시티 레조넌스,20210301,20220417,239485000.0,15966.0
빅 피쉬,20210301,20220417,13378000.0,1849.0
빌리 홀리데이,20210301,20220417,46153120.0,4373.0
빛나는 순간,20210301,20220417,25386840.0,3592.0
쁘떼뜨,20210301,20220417,4943500.0,660.0
쁘띠 마망,20210301,20220417,21971410.0,2582.0
사랑하고 사랑받고 차고 차이고,20210301,20220417,87693400.0,10357.0
상견니 대만판 12화,20210301,20220417,26284510.0,3599.0
샹치와 텐 링즈의 전설,20210301,20220417,17662611720.0,1734677.0
서복,20210301,20220417,3626288450.0,385181.0
세버그,20210301,20220417,64407710.0,6531.0
소울,20210301,20220417,1520478440.0,156616.0
소피의 세계,20210301,20220417,9312400.0,1076.0
쇼크 웨이브 2,20210301,20220417,9670500.0,1879.0
수색자,20210301,20220417,144258190.0,19105.0
